MaleBonusPercent,FemaleBonusPercent,MaleTopQuartile,FemaleTopQuartile
0,0,20.9,79.1
91.1,88.1,66.9,33.1
86,83,60.1,39.9
78.8,81.4,71.8,28.2
9.5,14,55,45
0.2,0,90.4,9.6
0,0,10,90
36.1,38.6,50.5,49.5
99,98,64,36
2.8,2.2,19.3,80.7
14,3,95,5
18.8,14.3,93.2,6.8
50,61.6,34,66
0,0,73,27
77.5,70,83.9,16.1
0,0,1.7,98.3
0,0,44.3,55.7
94.2,97.1,69,31
1.3,5,79,21
0,0,19,81
94,89,75.1,24.9
88,87,75.8,24.2
17,33,67,33
94,92,61,39
63.4,58,88.5,11.5
85,60,87,13
0,0,75,25
0,0,89.6,10.4
62.5,37.5,77.5,22.5
51.1,48.9,72.9,27.1
74.4,55.1,89.1,10.9
88,88.8,75.6,24.4
0,0.4,24.6,75.4
1.8,0.7,50.7,49.3
85.9,92.7,22,78
88.9,86.3,50.7,49.3
99,86,94,6
95.4,94.2,78,22
10.5,3.6,57,43
35.6,26.7,78,22
86.3,62.1,93,7
0,0,58.5,41.5
90.9,90.3,91.9,8.1
87.6,88.1,92.6,7.4
0,0,56.6,43.4
0,0,49,51
100,100,67.6,32.4
0,0.3,48.2,51.8
91,95,70,30
62.5,69.2,76.2,23.8
0,0,46,54
5.2,8,60,40
60,62,61,39
3.8,3.6,46.7,53.3
88,89,91,9
0,0,26.3,73.7
44.3,13.8,68.7,31.3
0,0,11,89
14.5,39.4,96.8,3.2
4.4,2,43.7,56.3
13.3,6.1,26.6,73.4
36,64,47.8,52.2
68.9,50.7,70.3,29.7
36.7,39.9,93.4,6.6
29,33,59.9,40.1
51.2,45.5,90,10
16.3,20.6,49,51
0,0,32,68
0,0,27.9,72.1
0,0,43,57
75.2,77.5,88.4,11.6
20,80,32.9,67.1
85.3,89.8,27,73
4.8,2.6,52.8,47.2
0,0,29,71
0,0.9,30.9,69.1
0,0,63,37
68,71,47,53
0,0,26.2,73.8
3.2,0.9,34.5,65.5
100,100,89.9,10.1
43,34,95,5
3,1,89.2,10.8
0,0,18.5,81.5
86.2,84.9,82.6,17.4
4.2,9.3,68.4,31.6
0.6,1.7,41.5,58.5
64.9,86.3,91.9,8.1
65,61,,
0,0,54,46
0,0,86,14
96.3,74.3,90,10
81.4,86.1,60.6,39.4
0,0,31.6,68.4
0,0,88.9,11.1
11.3,5.4,62,38
90,93,72,28
0,0,65.6,34.4
0,0,18.4,81.6
4.2,2.6,36.8,63.2
2.9,2.4,32.3,67.7
0,0,17.8,82.2
86.6,85.3,82.6,17.4
0,0,45.3,54.7
0,0,9,91
0,0,34.6,65.4
0,0,33.3,66.7
2.8,4,36.8,63.2
5.1,16.7,87.8,12.2
96.8,98.9,72.7,27.3
37,6,78,22
65,54,58.9,41.1
98.1,99.5,59,41
1.7,1.7,90.3,9.7
0,0,62,38
0,0,39.4,60.6
93.8,94.8,87.7,12.3
